k,rep,call_idx,call_time_ms
3,50,2,1206.415516
3,50,3,1203.373125
5,1,1,1207.181071
5,1,2,1206.685961
5,1,3,1210.307235
5,1,4,1221.664388
5,1,5,1207.464733
5,2,1,1206.346021
5,2,2,1209.603320
5,2,3,1211.435462
5,2,4,1207.107537
5,2,5,1213.396795
5,3,1,1213.235475
5,3,2,1207.192084
5,3,3,1210.945244
5,3,4,1229.375496
5,3,5,1213.095795
5,4,1,1215.040346
5,4,2,1206.275811
5,4,3,1215.454209
5,4,4,1219.064878
5,4,5,1217.666024
5,5,1,1217.353603
5,5,2,1323.379264
5,5,3,1210.013395
5,5,4,1394.022489
5,5,5,1205.935178
5,6,1,1233.676742
5,6,2,1388.346812
5,6,3,1214.287214
5,6,4,1209.343170
5,6,5,1208.288208
5,7,1,1210.920868
5,7,2,1205.059155
5,7,3,1213.215583
5,7,4,1206.179668
5,7,5,1212.881904
5,8,1,1236.800019
5,8,2,1213.583680
5,8,3,1214.522572
5,8,4,1222.334744
5,8,5,1208.015418
5,9,1,1209.542734
5,9,2,1221.359596
5,9,3,1212.485914
5,9,4,1221.705855
5,9,5,1213.174871
5,10,1,1219.829275
5,10,2,1212.226177
5,10,3,1204.766012
5,10,4,1222.918300
5,10,5,1208.198145
5,11,1,1230.534867
5,11,2,1212.921770
5,11,3,1218.711812
5,11,4,1210.448551
5,11,5,1207.388113
5,12,1,1228.456158
5,12,2,1207.102397
5,12,3,1205.098955
5,12,4,1213.292769
5,12,5,1209.171638
5,13,1,1221.463665
5,13,2,1213.048505
5,13,3,1216.942762
5,13,4,1220.892105
5,13,5,1231.724964
5,14,1,1216.071776
5,14,2,1219.270840
5,14,3,1211.642712
5,14,4,1207.387387
5,14,5,1219.202235
5,15,1,1201.155548
5,15,2,1222.199476
5,15,3,1211.095964
5,15,4,1206.086599
5,15,5,1204.856342
5,16,1,1218.063408
5,16,2,1215.062679
5,16,3,1205.996138
5,16,4,1218.986680
5,16,5,1208.541720
5,17,1,1212.178046
5,17,2,1212.645450
5,17,3,1203.119648
5,17,4,1213.006747
5,17,5,1217.426708
5,18,1,1211.963593
5,18,2,1211.695581
5,18,3,1217.351063
5,18,4,1224.001174
5,18,5,1228.416595
5,19,1,1206.023203
5,19,2,1212.616505
5,19,3,1215.499205
5,19,4,1215.116102
5,19,5,1205.744211
5,20,1,1209.689114
5,20,2,1218.462362
5,20,3,1204.100507
5,20,4,1216.011376
5,20,5,1204.045021
5,21,1,1211.684329
5,21,2,1206.989029
5,21,3,1208.686478
5,21,4,1201.947243
5,21,5,1205.370460
5,22,1,1217.996862
5,22,2,1206.607629
5,22,3,1209.976039
5,22,4,1208.221861
5,22,5,1208.954053
5,23,1,1223.186899
5,23,2,1204.766738
5,23,3,1208.819640
5,23,4,1220.902573
5,23,5,1216.768692
5,24,1,1222.823224
5,24,2,1206.852074
5,24,3,1216.465236
5,24,4,1212.033915
5,24,5,1204.014361
5,25,1,1222.740967
5,25,2,1213.160980
5,25,3,1208.902996
5,25,4,1208.975023
5,25,5,1200.654172
5,26,1,1209.545574
5,26,2,1215.657605
5,26,3,1207.521874
5,26,4,1209.898389
5,26,5,1214.673818
5,27,1,1215.155905
5,27,2,1217.169674
